user_id,segment,avg_completion_rate,avg_episodes_per_session,total_sessions,favourite_genre,subscription_tier
U000039,Casual Viewer,0.7340,1.8333,6,Drama,Standard
U000040,Casual Viewer,0.7182,5.5000,2,Drama,Premium
U000041,Casual Viewer,0.8095,2.6667,3,Animation,Basic
U000042,Casual Viewer,0.5881,8.5000,2,Action,Premium
U000043,Casual Viewer,0.5812,3.3333,3,Comedy,Standard
U000044,Casual Viewer,0.6938,2.6000,5,Comedy,Basic
U000045,Casual Viewer,0.7829,2.2857,7,Comedy,Standard
U000046,Binge Viewer,0.8333,4.5000,4,Romance,Basic
U000047,Drop-off Risk,1.0000,1.0000,1,Thriller,Standard
U000048,Casual Viewer,0.8529,2.5000,4,Comedy,Basic
U000049,Binge Viewer,0.8833,3.4000,5,Thriller,Standard
U000050,Binge Viewer,0.8737,5.8000,5,Thriller,Standard
U000051,Binge Viewer,0.8354,5.2500,8,Animation,Premium
U000052,Casual Viewer,0.6556,3.0000,6,Sci-Fi,Premium
U000053,Casual Viewer,0.5196,1.3333,3,Comedy,Basic
U000054,Casual Viewer,0.6775,1.7500,4,Sci-Fi,Standard
U000055,Casual Viewer,0.7160,6.8000,5,Action,Premium
U000056,Casual Viewer,0.7186,5.0000,7,Drama,Standard
U000057,Drop-off Risk,0.3670,4.7143,7,Thriller,Premium
U000058,Casual Viewer,0.7222,1.6667,3,Drama,Standard
U000059,Binge Viewer,0.8271,6.3750,8,Comedy,Standard
U000060,Casual Viewer,0.6742,4.1667,6,Comedy,Basic
U000061,Casual Viewer,0.6430,4.1667,6,Drama,Basic
U000062,Binge Viewer,0.8234,8.0000,6,Comedy,Standard
U000063,Binge Viewer,0.8399,6.3333,6,Action,Standard
U000064,Casual Viewer,0.6239,5.6250,8,Action,Premium
U000065,Casual Viewer,0.6378,1.5714,7,Drama,Premium
U000066,Binge Viewer,0.8796,5.7500,8,Drama,Standard
U000067,Casual Viewer,0.6326,4.0000,7,Drama,Standard
U000068,Casual Viewer,0.5864,2.0000,5,Horror,Standard
U000069,Casual Viewer,0.5871,6.3333,6,Action,Premium
U000070,Binge Viewer,0.7519,7.0000,8,Drama,Basic
U000071,Drop-off Risk,0.2308,3.0000,1,Romance,Premium
U000072,Binge Viewer,0.9028,4.4000,10,Drama,Basic
U000073,Drop-off Risk,0.3827,5.7143,7,Action,Premium
U000074,Casual Viewer,0.7492,1.3333,6,Drama,Standard
U000075,Casual Viewer,0.6842,4.0000,2,Drama,Premium
U000076,Binge Viewer,1.0000,5.5000,4,Romance,Premium
U000077,Casual Viewer,0.5997,4.1667,6,Comedy,Standard
U000078,Binge Viewer,0.8571,9.0000,2,Action,Standard
U000079,Binge Viewer,0.7820,4.7143,7,Romance,Standard
U000080,Casual Viewer,0.5430,1.5000,4,Comedy,Basic
U000081,Binge Viewer,0.9149,9.5000,4,Romance,Basic
U000082,Casual Viewer,0.7139,1.3333,6,Comedy,Standard
U000083,Casual Viewer,0.6138,1.5000,8,Comedy,Standard
U000084,Drop-off Risk,0.2941,5.0000,1,Action,Premium
U000085,Casual Viewer,0.8088,1.7500,4,Action,Basic
U000086,Binge Viewer,0.7879,6.1667,6,Drama,Premium
U000087,Casual Viewer,0.6667,1.0000,2,Documentary,Basic
U000088,Binge Viewer,0.8648,4.8571,7,Action,Premium
U000089,Casual Viewer,0.8667,1.0000,5,Animation,Basic
U000090,Binge Viewer,0.8976,6.5714,7,Action,Premium
U000091,Casual Viewer,0.6449,6.7500,4,Comedy,Basic
U000092,Casual Viewer,0.7100,4.8333,6,Drama,Premium
U000093,Casual Viewer,0.7442,3.6667,6,Thriller,Standard
U000094,Binge Viewer,0.7912,6.8000,5,Drama,Basic
U000095,Drop-off Risk,0.3399,3.7500,4,Drama,Standard
U000096,Casual Viewer,0.8026,1.7500,4,Action,Standard
U000097,Casual Viewer,0.6035,3.5000,6,Thriller,Basic
U000098,Casual Viewer,0.5409,3.4000,5,Comedy,Basic
U000099,Binge Viewer,0.7695,4.2857,7,Action,Basic
U000100,Casual Viewer,0.7456,2.5000,4,Action,Standard
U000101,Casual Viewer,0.6327,3.5714,7,Romance,Basic
U000102,Casual Viewer,0.5936,8.2000,5,Animation,Premium
U000103,Casual Viewer,0.7400,6.4000,5,Action,Standard
U000104,Casual Viewer,0.7778,2.6667,3,Comedy,Basic
U000105,Casual Viewer,0.6754,4.7143,7,Drama,Standard
U000106,Binge Viewer,0.8116,4.0000,9,Comedy,Premium
U000107,Casual Viewer,0.4855,2.8571,7,Romance,Premium
U000108,Casual Viewer,0.5872,3.0000,7,Drama,Premium
U000109,Binge Viewer,0.8704,4.3333,3,Documentary,Standard
U000110,Drop-off Risk,0.4000,3.3333,3,Documentary,Standard
U000111,Casual Viewer,0.6371,4.4000,5,Comedy,Premium
U000112,Binge Viewer,0.7550,4.2500,8,Action,Standard
U000113,Casual Viewer,0.5275,7.6000,5,Thriller,Standard
U000114,Binge Viewer,0.9077,4.5000,4,Comedy,Basic
U000115,Casual Viewer,0.6731,3.7500,4,Thriller,Premium
U000116,Drop-off Risk,0.3643,4.5000,2,Romance,Standard
U000117,Binge Viewer,0.8392,7.4000,5,Comedy,Basic
U000118,Casual Viewer,0.7290,3.7500,4,Comedy,Basic
U000119,Binge Viewer,1.0000,3.2857,7,Comedy,Basic
U000120,Casual Viewer,0.6625,10.0000,3,Comedy,Standard
U000121,Casual Viewer,0.6504,2.6000,5,Comedy,Basic
U000122,Casual Viewer,0.6097,3.8571,7,Action,Standard
U000123,Binge Viewer,0.8425,4.7500,4,Drama,Basic
U000124,Casual Viewer,0.8667,1.0000,5,Drama,Standard
U000125,Casual Viewer,0.5888,5.3333,3,Comedy,Basic
U000126,Binge Viewer,0.7783,5.4545,11,Thriller,Premium
U000127,Casual Viewer,0.4298,4.0000,6,Action,Basic
U000128,Casual Viewer,0.5168,8.2500,4,Documentary,Basic
U000129,Casual Viewer,0.7500,5.3333,3,Action,Premium
U000130,Casual Viewer,0.6951,3.8750,8,Comedy,Premium
U000131,Binge Viewer,0.9338,4.0000,6,Comedy,Standard
U000132,Casual Viewer,0.6610,5.5556,9,Comedy,Premium
U000133,Casual Viewer,0.6444,3.5000,4,Action,Basic
U000134,Casual Viewer,0.4675,2.4000,5,Documentary,Standard
U000135,Casual Viewer,0.6485,8.2500,4,Action,Premium
U000136,Casual Viewer,0.6944,3.2000,5,Horror,Basic
U000137,Casual Viewer,0.5699,7.2500,4,Thriller,Premium
U000138,Casual Viewer,0.8250,2.2500,4,Romance,Basic
U000139,Casual Viewer,0.7433,6.6000,5,Drama,Standard
U000140,Casual Viewer,0.8864,3.0000,4,Action,Basic
U000141,Casual Viewer,0.9583,2.2500,8,Comedy,Basic
U000142,Casual Viewer,0.6434,5.8000,5,Animation,Basic
U000143,Binge Viewer,0.8237,5.0000,7,Drama,Premium
U000144,Casual Viewer,0.5817,6.3333,6,Documentary,Standard
U000145,Drop-off Risk,1.0000,1.0000,1,Thriller,Basic
U000146,Binge Viewer,0.8379,3.6667,6,Action,Premium
U000147,Casual Viewer,0.6745,5.3333,3,Animation,Basic
U000148,Binge Viewer,0.9853,5.7500,4,Action,Premium
U000149,Casual Viewer,0.6693,2.6250,8,Thriller,Premium
U000150,Binge Viewer,0.7596,4.4000,5,Comedy,Standard
U000151,Casual Viewer,0.7121,10.3333,3,Sci-Fi,Standard
U000152,Casual Viewer,0.4720,2.1667,6,Horror,Basic
U000153,Casual Viewer,0.5994,5.3333,6,Comedy,Premium
U000154,Binge Viewer,0.8107,4.2857,7,Thriller,Basic
U000155,Binge Viewer,0.8968,4.1667,6,Thriller,Standard
U000156,Binge Viewer,0.8459,9.2500,4,Drama,Basic
U000157,Casual Viewer,0.7372,3.0000,4,Drama,Standard
U000158,Binge Viewer,0.8979,7.2500,4,Comedy,Standard
U000159,Casual Viewer,0.7043,7.6667,6,Romance,Basic
U000160,Binge Viewer,0.8538,7.0000,6,Romance,Standard
U000161,Casual Viewer,0.6198,5.4286,7,Comedy,Basic
U000162,Casual Viewer,0.7214,2.8000,5,Romance,Standard
U000163,Casual Viewer,0.6116,7.0000,5,Drama,Premium
U000164,Casual Viewer,0.7294,10.5000,4,Thriller,Basic
U000165,Casual Viewer,0.7207,1.6250,8,Comedy,Premium
U000166,Casual Viewer,0.7151,6.3333,6,Action,Standard
U000167,Binge Viewer,0.7796,4.5000,8,Thriller,Premium
U000168,Casual Viewer,0.4972,3.0000,3,Action,Basic
U000169,Casual Viewer,0.4659,2.6000,5,Action,Standard
U000170,Casual Viewer,0.7312,2.0000,4,Comedy,Basic
U000171,Casual Viewer,0.6000,7.0000,4,Drama,Premium
U000172,Binge Viewer,0.7627,7.7143,7,Action,Standard
U000173,Drop-off Risk,0.3915,6.6667,3,Action,Standard
U000174,Casual Viewer,0.8636,2.0000,4,Animation,Premium
U000175,Binge Viewer,0.8764,6.4000,5,Romance,Standard
U000176,Casual Viewer,0.5202,6.5000,6,Animation,Basic
U000177,Casual Viewer,0.6458,4.0000,2,Comedy,Standard
U000178,Casual Viewer,0.7407,5.8333,6,Romance,Standard
U000179,Binge Viewer,0.8590,8.1429,7,Romance,Premium
U000180,Binge Viewer,0.8077,8.4000,5,Action,Basic
U000181,Binge Viewer,0.7758,9.0000,3,Drama,Standard
U000182,Casual Viewer,0.6225,2.7500,4,Action,Standard
U000183,Casual Viewer,0.7433,2.8000,5,Animation,Standard
U000184,Casual Viewer,0.7000,1.3333,3,Comedy,Premium
U000185,Casual Viewer,0.6979,4.3333,6,Romance,Basic
U000186,Casual Viewer,0.6899,6.0000,5,Sci-Fi,Premium
U000187,Casual Viewer,0.6746,5.6667,3,Action,Standard
U000188,Casual Viewer,0.6529,4.2000,5,Action,Standard
U000189,Casual Viewer,0.6228,12.5000,4,Comedy,Basic
U000190,Casual Viewer,0.4798,8.0000,4,Comedy,Standard
U000191,Casual Viewer,0.7098,7.0000,4,Comedy,Basic
U000192,Casual Viewer,0.8611,2.8333,6,Drama,Basic
U000193,Casual Viewer,0.9333,2.0000,3,Thriller,Premium
U000194,Binge Viewer,0.8392,8.5556,9,Comedy,Basic
U000195,Casual Viewer,0.5536,2.8000,5,Action,Standard
U000196,Binge Viewer,0.7894,8.0000,6,Romance,Premium
U000197,Binge Viewer,0.9167,3.6667,3,Action,Basic
U000198,Casual Viewer,0.7292,2.7500,4,Comedy,Basic
U000199,Casual Viewer,0.5761,6.4000,5,Documentary,Premium
U000200,Binge Viewer,0.8523,3.2500,4,Drama,Basic
U000201,Binge Viewer,0.8693,10.3333,3,Comedy,Premium
U000202,Casual Viewer,0.7116,4.0000,12,Documentary,Basic
U000203,Binge Viewer,0.8535,4.0000,7,Comedy,Basic
U000204,Binge Viewer,0.8133,5.1429,7,Action,Basic
U000205,Casual Viewer,0.8969,2.7143,7,Animation,Basic
U000206,Casual Viewer,0.8364,2.0000,5,Action,Standard
U000207,Casual Viewer,0.6358,2.3333,6,Comedy,Standard
U000208,Casual Viewer,0.6683,4.6000,10,Comedy,Basic
U000209,Casual Viewer,0.8571,1.5000,4,Action,Basic
U000210,Casual Viewer,0.8292,2.3333,9,Drama,Standard
U000212,Casual Viewer,0.6766,7.0000,7,Thriller,Standard
U000213,Casual Viewer,0.8889,1.6667,3,Action,Basic
U000214,Casual Viewer,0.5946,2.8000,5,Drama,Basic
U000215,Binge Viewer,0.8312,4.6667,3,Action,Basic
U000216,Binge Viewer,0.8466,8.8333,6,Horror,Basic
U000217,Binge Viewer,0.8389,14.0000,2,Horror,Premium
U000218,Casual Viewer,1.0000,1.0000,2,Comedy,Standard
U000219,Casual Viewer,0.4994,2.6000,5,Action,Premium
U000220,Casual Viewer,0.7416,7.5000,4,Comedy,Standard
U000221,Casual Viewer,0.5258,5.0000,6,Action,Basic
U000222,Casual Viewer,0.4537,1.0000,3,Comedy,Premium
U000223,Casual Viewer,0.6906,13.7500,4,Animation,Premium
U000224,Binge Viewer,0.8080,3.1667,6,Animation,Standard
U000225,Casual Viewer,0.4190,2.8333,6,Documentary,Standard
U000226,Casual Viewer,0.5651,11.2500,4,Comedy,Basic
U000227,Binge Viewer,0.7719,4.1250,8,Action,Premium
U000228,Casual Viewer,0.7324,4.9000,10,Action,Standard
U000229,Casual Viewer,0.6550,3.3333,6,Action,Standard
U000230,Casual Viewer,0.6003,3.6000,5,Comedy,Standard
U000231,Casual Viewer,0.7041,6.4000,5,Reality,Standard
U000232,Casual Viewer,0.7407,3.6667,6,Action,Basic
U000233,Binge Viewer,0.7895,3.3750,8,Comedy,Standard
U000234,Casual Viewer,0.8540,2.1429,7,Comedy,Basic
U000235,Binge Viewer,0.8874,6.3750,8,Drama,Basic
U000236,Casual Viewer,0.7330,6.5000,4,Animation,Standard
U000237,Casual Viewer,0.6712,3.0000,6,Romance,Basic
U000238,Binge Viewer,0.8212,3.1667,6,Romance,Basic
U000239,Casual Viewer,0.7378,3.4000,10,Sci-Fi,Premium
U000240,Casual Viewer,0.9821,1.8571,7,Drama,Basic
U000241,Casual Viewer,0.5290,2.6667,3,Animation,Basic
U000242,Binge Viewer,0.7862,9.1667,6,Drama,Premium
U000243,Binge Viewer,0.8045,5.5556,9,Drama,Basic
U000244,Binge Viewer,0.9727,4.8000,5,Animation,Standard
U000245,Casual Viewer,0.8722,2.8000,10,Comedy,Premium
U000246,Casual Viewer,1.0000,1.0000,2,Horror,Basic
U000247,Binge Viewer,0.8460,6.6667,9,Action,Standard
U000248,Casual Viewer,0.8039,3.0000,3,Action,Basic
U000249,Binge Viewer,0.7800,3.4000,5,Documentary,Premium
U000250,Binge Viewer,0.8207,4.6667,6,Comedy,Basic
U000251,Binge Viewer,0.8333,4.0000,5,Sci-Fi,Basic
U000252,Binge Viewer,0.7692,10.0000,1,Action,Standard
U000253,Casual Viewer,0.5528,7.6000,5,Action,Standard
U000254,Binge Viewer,0.8095,6.3333,3,Animation,Basic
U000255,Casual Viewer,0.7083,1.0000,3,Action,Premium
U000256,Casual Viewer,0.7116,5.5000,6,Action,Basic
U000257,Casual Viewer,0.7437,3.1000,10,Comedy,Standard
U000258,Casual Viewer,0.5479,4.1429,7,Animation,Standard
U000259,Casual Viewer,0.6589,6.3333,9,Comedy,Standard
U000260,Casual Viewer,0.7096,3.2000,10,Comedy,Standard
U000261,Casual Viewer,0.7378,6.2857,7,Romance,Premium
U000262,Casual Viewer,0.5000,8.0000,1,Drama,Basic
U000263,Casual Viewer,1.0000,1.0000,3,Animation,Basic
U000264,Casual Viewer,0.9167,1.2500,4,Action,Standard
U000265,Casual Viewer,0.6806,4.1667,6,Drama,Premium
U000266,Casual Viewer,0.5230,5.2500,4,Drama,Premium
U000267,Binge Viewer,0.9028,4.3333,6,Drama,Basic
U000268,Binge Viewer,0.7542,6.8333,6,Drama,Standard
U000269,Casual Viewer,0.5168,2.5000,4,Drama,Basic
U000270,Casual Viewer,0.5273,4.7143,7,Comedy,Standard
U000271,Casual Viewer,0.7228,6.4000,5,Thriller,Standard
U000272,Casual Viewer,0.7410,4.5000,6,Drama,Basic
U000273,Casual Viewer,0.6495,2.5000,6,Drama,Basic
U000275,Drop-off Risk,1.0000,1.0000,1,Horror,Basic
U000276,Binge Viewer,0.7584,6.4545,11,Documentary,Standard
U000277,Casual Viewer,0.6752,2.4286,7,Documentary,Standard
U000278,Casual Viewer,0.7242,4.5000,6,Action,Basic
U000279,Casual Viewer,0.7679,1.0000,4,Drama,Standard
U000280,Binge Viewer,0.9035,12.7500,4,Romance,Premium
U000281,Drop-off Risk,0.3702,4.5000,2,Action,Premium
U000282,Casual Viewer,0.7083,3.1667,6,Sci-Fi,Standard
U000283,Casual Viewer,0.7643,2.6000,5,Action,Standard
U000284,Binge Viewer,0.8261,4.3333,3,Animation,Standard
U000285,Casual Viewer,0.5459,4.0000,8,Action,Standard
U000286,Casual Viewer,0.4860,8.0000,4,Sci-Fi,Basic
U000287,Casual Viewer,0.6389,6.5000,2,Horror,Standard
U000288,Casual Viewer,0.7976,2.7500,4,Drama,Basic
U000289,Casual Viewer,1.0000,1.0000,2,Action,Basic
U000290,Binge Viewer,0.9005,3.6667,9,Animation,Standard
U000291,Binge Viewer,0.7782,6.0000,6,Thriller,Basic
U000292,Casual Viewer,0.6815,4.0000,3,Drama,Premium
U000293,Casual Viewer,0.7322,3.1667,6,Thriller,Standard
U000294,Casual Viewer,0.5570,7.0000,5,Drama,Standard
U000295,Casual Viewer,0.7422,4.8571,7,Comedy,Standard
U000296,Binge Viewer,0.8026,5.7500,4,Action,Standard
U000297,Casual Viewer,0.8421,2.5000,4,Sci-Fi,Standard
U000298,Binge Viewer,0.9167,3.2500,4,Action,Standard
U000299,Casual Viewer,0.7339,5.4000,5,Action,Standard
U000300,Casual Viewer,0.6374,3.3333,6,Comedy,Standard
U000301,Casual Viewer,0.6600,5.2000,5,Animation,Standard
U000302,Casual Viewer,0.6850,3.5714,7,Sci-Fi,Standard
U000303,Casual Viewer,1.0000,1.0000,4,Action,Standard
U000304,Casual Viewer,0.8627,1.5000,6,Comedy,Standard
U000305,Casual Viewer,0.9000,3.0000,4,Drama,Standard
U000306,Binge Viewer,0.8722,5.5000,6,Comedy,Basic
U000307,Casual Viewer,0.6261,2.7143,7,Drama,Standard
U000308,Casual Viewer,0.7762,2.7143,7,Romance,Premium
U000309,Casual Viewer,0.8506,2.1429,7,Romance,Basic
U000310,Casual Viewer,0.6985,6.3333,6,Action,Basic
U000311,Casual Viewer,0.7302,7.0000,3,Action,Premium
U000312,Drop-off Risk,1.0000,1.0000,1,Comedy,Standard
U000313,Casual Viewer,0.7411,4.0000,4,Thriller,Standard
U000314,Casual Viewer,1.0000,1.0000,3,Reality,Premium
U000315,Casual Viewer,0.5000,2.0000,3,Action,Standard
U000316,Binge Viewer,0.8434,5.2500,4,Comedy,Premium
U000317,Binge Viewer,0.8077,7.3333,3,Animation,Basic
U000318,Casual Viewer,0.8590,1.5000,6,Comedy,Basic
U000319,Casual Viewer,0.5014,6.8333,6,Drama,Basic
U000320,Casual Viewer,0.5500,1.0000,2,Sci-Fi,Standard
U000321,Binge Viewer,1.0000,4.0000,2,Drama,Standard
U000322,Binge Viewer,0.9000,5.5000,4,Comedy,Premium
U000323,Casual Viewer,0.5588,1.5000,2,Action,Basic
U000324,Casual Viewer,0.6111,2.0000,3,Comedy,Basic
U000325,Casual Viewer,0.6079,4.0000,5,Drama,Basic
U000326,Binge Viewer,0.7549,4.2500,8,Comedy,Standard
U000327,Binge Viewer,0.9841,7.3333,3,Action,Standard
U000328,Casual Viewer,0.4711,6.2000,5,Action,Basic
U000329,Casual Viewer,0.6835,6.2500,8,Drama,Basic
U000330,Casual Viewer,0.7316,2.7500,8,Comedy,Premium
U000331,Binge Viewer,0.7589,3.7500,4,Action,Premium
U000332,Casual Viewer,0.5493,6.1111,9,Drama,Premium
U000333,Casual Viewer,0.7042,8.0000,3,Comedy,Standard
U000334,Casual Viewer,0.8810,2.1667,6,Animation,Standard
U000335,Binge Viewer,0.7941,5.5000,2,Documentary,Basic
U000336,Casual Viewer,0.5450,3.0000,3,Animation,Premium
U000337,Casual Viewer,0.9500,1.7500,4,Action,Premium
U000338,Casual Viewer,0.8917,2.0000,6,Drama,Standard
U000339,Casual Viewer,0.5843,6.5000,4,Animation,Basic
U000340,Casual Viewer,0.6295,3.8000,5,Thriller,Standard
U000341,Casual Viewer,0.7082,9.0000,11,Romance,Basic
U000342,Casual Viewer,0.6958,7.2500,4,Documentary,Standard
U000343,Casual Viewer,0.7333,4.0000,3,Action,Premium
U000344,Casual Viewer,0.4681,5.6000,5,Action,Premium
U000345,Casual Viewer,0.7500,11.5000,2,Documentary,Premium
U000346,Casual Viewer,1.0000,1.0000,3,Animation,Premium
U000347,Casual Viewer,0.7500,5.3333,3,Horror,Basic
U000348,Casual Viewer,0.7452,6.2500,4,Comedy,Premium
U000349,Casual Viewer,0.6440,4.5714,7,Action,Basic
U000350,Casual Viewer,0.7286,2.6000,5,Drama,Premium
U000351,Binge Viewer,0.8330,7.7500,8,Documentary,Standard
U000352,Casual Viewer,0.5893,3.0000,2,Drama,Basic
U000353,Casual Viewer,0.8278,2.6667,6,Romance,Standard
U000354,Casual Viewer,0.4690,3.5000,4,Sci-Fi,Standard
U000355,Binge Viewer,0.8258,4.5000,6,Romance,Basic
U000356,Casual Viewer,0.5727,10.0000,3,Comedy,Basic
U000357,Casual Viewer,0.7445,3.5000,6,Action,Basic
U000358,Casual Viewer,0.7380,3.3333,9,Comedy,Standard
U000359,Casual Viewer,0.6562,6.0000,8,Drama,Basic
U000360,Casual Viewer,0.7179,4.0000,4,Drama,Basic
U000361,Binge Viewer,0.7546,5.0000,8,Drama,Standard
U000362,Casual Viewer,0.4540,5.3333,3,Animation,Standard
U000363,Casual Viewer,0.7431,3.8333,6,Comedy,Standard
U000364,Casual Viewer,0.8281,2.0000,4,Action,Standard
U000365,Binge Viewer,0.8835,6.1250,8,Comedy,Premium
U000366,Casual Viewer,0.7083,1.5000,4,Action,Standard
U000367,Drop-off Risk,1.0000,1.0000,1,Drama,Premium
U000368,Casual Viewer,0.5250,3.0000,2,Comedy,Standard
U000369,Binge Viewer,0.8690,4.5000,8,Drama,Standard
U000370,Casual Viewer,1.0000,1.0000,2,Comedy,Standard
U000371,Binge Viewer,0.7949,5.0000,6,Comedy,Basic
U000372,Casual Viewer,1.0000,1.2500,4,Documentary,Premium
U000373,Casual Viewer,0.5850,5.3333,6,Animation,Basic
U000374,Drop-off Risk,0.3982,6.3333,3,Comedy,Standard
U000375,Casual Viewer,0.6667,1.0000,2,Comedy,Standard
U000376,Binge Viewer,0.9603,6.1667,6,Romance,Standard
U000377,Casual Viewer,0.6146,3.2500,8,Drama,Standard
U000378,Binge Viewer,0.7911,7.2000,5,Comedy,Basic
U000379,Casual Viewer,0.6567,8.8571,7,Action,Basic
U000380,Casual Viewer,0.8667,2.6667,3,Comedy,Standard
U000381,Drop-off Risk,1.0000,1.0000,1,Comedy,Basic
U000382,Casual Viewer,0.6167,2.3333,3,Drama,Basic
U000383,Casual Viewer,0.4778,2.0000,6,Comedy,Premium
U000384,Casual Viewer,0.7148,4.6000,5,Action,Basic
U000385,Binge Viewer,0.9188,6.0000,3,Comedy,Basic
U000386,Casual Viewer,0.6071,2.0000,2,Documentary,Basic
U000387,Casual Viewer,0.7247,6.3750,8,Thriller,Basic
U000388,Casual Viewer,0.6999,3.0000,7,Thriller,Standard
U000389,Casual Viewer,0.6848,6.5000,4,Romance,Standard
U000390,Binge Viewer,0.8490,4.2500,8,Action,Basic
U000391,Binge Viewer,0.7848,8.5714,7,Romance,Standard
U000392,Casual Viewer,0.7453,3.1250,8,Reality,Standard
U000393,Casual Viewer,0.6007,5.5714,7,Drama,Basic
U000394,Binge Viewer,0.8592,7.7500,8,Documentary,Premium
U000395,Casual Viewer,0.4287,3.0000,3,Comedy,Premium
U000396,Casual Viewer,0.6875,6.7500,4,Romance,Basic
U000397,Drop-off Risk,1.0000,1.0000,1,Drama,Premium
U000398,Casual Viewer,0.5848,1.0000,5,Action,Premium
U000399,Casual Viewer,0.7281,9.8000,5,Action,Standard
U000400,Drop-off Risk,0.3944,1.3333,3,Drama,Standard
U000401,Binge Viewer,0.8879,10.0000,5,Comedy,Standard
U000402,Casual Viewer,0.6917,2.5000,4,Documentary,Basic
U000403,Casual Viewer,0.4185,4.8571,7,Sci-Fi,Basic
U000404,Casual Viewer,0.6838,5.7143,7,Comedy,Basic
U000405,Binge Viewer,0.8116,7.0000,8,Comedy,Standard
U000406,Casual Viewer,0.6714,5.6000,5,Comedy,Basic
U000407,Casual Viewer,0.7294,4.2500,4,Comedy,Basic
U000408,Casual Viewer,0.5580,2.1429,7,Comedy,Basic
U000409,Casual Viewer,0.4667,6.0000,2,Action,Premium
U000410,Binge Viewer,0.8125,5.0000,2,Drama,Premium
U000411,Casual Viewer,0.7271,6.3333,3,Action,Standard
U000412,Binge Viewer,0.8579,5.4000,5,Horror,Basic
U000413,Binge Viewer,0.7667,3.8000,5,Action,Basic
U000414,Binge Viewer,0.7529,7.8333,6,Comedy,Premium
U000415,Casual Viewer,0.7227,6.2857,7,Action,Standard
U000416,Drop-off Risk,0.3913,5.0000,5,Documentary,Basic
U000417,Binge Viewer,0.8333,7.5000,2,Action,Basic
U000418,Drop-off Risk,1.0000,1.0000,1,Romance,Premium
U000419,Casual Viewer,0.6776,1.5714,7,Drama,Standard
U000420,Binge Viewer,0.7818,8.6667,6,Horror,Basic
U000421,Casual Viewer,0.5699,3.2500,4,Animation,Standard
U000422,Casual Viewer,0.9278,3.0000,6,Comedy,Standard
U000423,Binge Viewer,0.7683,8.5000,4,Documentary,Basic
U000424,Casual Viewer,0.7179,1.3333,3,Horror,Premium
U000425,Binge Viewer,0.8939,5.6667,3,Comedy,Premium
U000426,Casual Viewer,0.6722,7.3333,6,Drama,Basic
U000427,Drop-off Risk,0.1884,3.0000,2,Animation,Standard
U000428,Casual Viewer,0.4583,2.0000,3,Documentary,Premium
U000430,Drop-off Risk,0.2863,3.6667,3,Documentary,Basic
U000431,Drop-off Risk,0.2500,1.0000,1,Drama,Standard
U000432,Casual Viewer,0.6000,1.0000,2,Drama,Standard
U000433,Casual Viewer,0.6719,2.7500,4,Sci-Fi,Standard
